LONG / CV,E,P,GN,BIO,A,HOU
2021,3.59415e+07,0,0,0,0,0
2022,3.57152e+07,0,0,0,0,0
2023,3.55627e+07,0,0,0,0,0
2024,3.54063e+07,0,0,0,0,0
2025,3.52472e+07,0,0,0,0,0
2026,3.50854e+07,0,0,0,0,0
2027,3.49207e+07,0,0,0,0,0
2028,3.47532e+07,0,0,0,0,0
2029,3.45828e+07,0,0,0,0,0
2030,3.44094e+07,0,0,0,0,0
2031,3.42566e+07,0,0,0,0,0
2032,3.41318e+07,0,0,0,0,0
2033,3.40031e+07,0,0,0,0,0
2034,3.38704e+07,0,0,0,0,0
2035,3.37336e+07,0,0,0,0,0
IMPGN,E,P,GN,BIO,A,HOU
2015,0,0,2.20909e+07,0,0,0
2016,0,0,1.51414e+07,0,0,0
2017,0,0,1.31059e+07,0,0,0
2018,0,0,1.28788e+07,0,0,0
2019,0,0,1.27328e+07,0,0,0
2020,0,0,1.25877e+07,0,0,0
2021,0,0,1.24435e+07,0,0,0
2022,0,0,1.23418e+07,0,0,0
2023,0,0,1.22722e+07,0,0,0
2024,0,0,1.22009e+07,0,0,0
2025,0,0,1.21289e+07,0,0,0
2026,0,0,1.20562e+07,0,0,0
2027,0,0,1.19827e+07,0,0,0
2028,0,0,1.19084e+07,0,0,0
2029,0,0,1.18334e+07,0,0,0
2030,0,0,1.17575e+07,0,0,0
2031,0,0,1.16948e+07,0,0,0
2032,0,0,1.16496e+07,0,0,0
2033,0,0,1.16031e+07,0,0,0
2034,0,0,1.15553e+07,0,0,0
2035,0,0,1.15062e+07,0,0,0
IMPBIO,E,P,GN,BIO,A,HOU
2015,0,0,0,1.6399e+07,0,0
2016,0,0,0,1.19766e+07,0,0
2017,0,0,0,1.09894e+07,0,0
2018,0,0,0,1.09242e+07,0,0
2019,0,0,0,1.08412e+07,0,0
2020,0,0,0,1.07583e+07,0,0
2021,0,0,0,1.06756e+07,0,0
2022,0,0,0,1.0573e+07,0,0
2023,0,0,0,1.05297e+07,0,0
2024,0,0,0,1.04886e+07,0,0
2025,0,0,0,1.04466e+07,0,0
2026,0,0,0,1.04037e+07,0,0
2027,0,0,0,1.03599e+07,0,0
2028,0,0,0,1.03152e+07,0,0
2029,0,0,0,1.02696e+07,0,0
2030,0,0,0,1.02231e+07,0,0
2031,0,0,0,1.01608e+07,0,0
